,rank,loo,p_loo,d_loo,weight,se,dse,warning,loo_scale
Neutral,0,280.81523535087456,7.815806431508975,0.0,0.7150681964013087,22.129362646712114,0.0,False,log
Subclonal,1,279.56400761021655,7.810264388039968,1.251227740657983,0.28493180359869164,22.1970767206591,1.6134821603318705,False,log
