theta1,theta2_rel,frac,tau1_rel,mu,gamma,nu_rel,zeta_rel,betaContam,delta,eta,kappa
1.644101820043586,1.6341352609765893,0.18714334185908765,0.9266737339389299,0.014100061706276491,0.017345331577416093,1.566728091838211,0.8913432515698423,0.761905117612356,0.05103124063951944,0.9584387552600333,49.42766094188923
1.717709666867576,1.0768137396107775,0.4533046318943628,0.9183402592134344,0.012144897424178092,0.011123532198788005,1.1380212165934604,0.9201680583314549,0.7060457904967867,0.05320828515548742,0.9608513301113807,46.76976728411172
1.6472374136970116,2.285334670317539,0.36976510908604143,0.8941674353265053,0.007567345393466604,0.008227144709077422,1.1549618302380513,0.6281810857572162,0.7203201997735516,0.05649698934413987,0.9527560422708868,53.673944325950686
2.0529900450075864,1.9295832292275001,0.47186430445849953,0.9240288464974318,0.011350166476742354,0.013465203164523884,1.55879259957413,0.6417399414576919,0.8183653722683057,0.06440385347473555,0.9392148451125706,38.393274550911116
1.96741135509439,1.1921252349799036,0.2928774338857713,0.9242762783642082,0.01337495843565574,0.01695224941462529,1.4843577834799042,0.693164352495682,0.6361858830205365,0.0576465859238463,0.973828283278249,59.08892894494991
1.6237850237334042,2.539284793843586,0.4044953937736054,0.8785659498016702,0.008445940285679646,0.011022247822337733,1.5394437980447493,0.5319929600506148,0.5524143995651948,0.07296386384760112,0.9714595044369414,54.28429226426692
2.228090204571369,1.1618946132565378,0.3368213861993149,0.9461914461932073,0.016048507639515756,0.017120857649509314,1.6317080323669544,0.8809391576001225,0.47367233981151813,0.07678234217433727,0.9680449071943478,54.161596437796476
0.9317122110308874,2.9386413301688092,0.23838880224270165,0.8618090766742941,0.007970173396628135,0.008456337041960742,1.1920084379876472,0.8061704599667701,0.6314831474198472,0.04994491753410779,0.9744232579013101,51.57396619698882
2.836701199953378,1.906603584617864,0.5641480717904857,0.9448020166160458,0.026260578699896026,0.033034636294794355,1.333716137975567,0.6712916873704642,0.6188204566297908,0.04853269875299797,0.9882863208465675,55.65769554814348
1.9293875285170932,2.165756257352025,0.6083179798873644,0.9429183868703735,0.019124102700162626,0.022582509436994885,1.4915503722152033,0.7501833200544022,0.6281860004566746,0.06208714143135495,0.9654132062917362,49.26619388555145
2.2450381903449794,3.1606597229496374,0.2650654082521841,0.9401401899219944,0.012562923387159076,0.014068989288242607,1.5275323823388154,0.8488947042275788,0.7479275735669748,0.059502945782798265,0.9565655272444082,53.69941169197549
1.7253734114171808,2.32141654590188,0.6858520173710085,0.9261743128702399,0.016886513388621165,0.023687417957758493,1.348021905938373,0.4484497973196303,0.4850299802113381,0.06664098718502104,0.9911939357521717,50.157274751035786
3.2581631202911163,1.2332451585105786,0.3012462396063659,0.9608006537371466,0.0248774309000314,0.026459064875368782,1.461064601617126,0.9529707882123274,0.5720496627685551,0.057644988182278596,0.9656030053544645,46.89994951368126
2.0578353141519323,2.5466594245887912,0.3030344477826198,0.9062441564452227,0.0073160972105680636,0.009117134390864133,1.5119667855172736,0.404857933207638,0.4398385438078959,0.08251851003143441,0.9661056776089151,56.931270159702926
1.7808198605422303,1.9891098985609998,0.3723850866078863,0.9161755577855193,0.010094308166814414,0.0114056165139763,1.4788928503376342,0.5981530068284601,0.8514358080897075,0.051610933865327405,0.9397207114202825,55.17687569018971
1.6105790045316273,1.800443153845569,0.35216603154439086,0.907883045306488,0.009745604742960925,0.010638018984760682,1.3465907433621347,0.6023739393082058,0.8422026149802517,0.05005731086662193,0.9415084192122896,53.86335771541705
0.8558013569096813,2.716407498143594,0.479417523498027,0.8530714723458579,0.006739675407397292,0.007837174256570417,1.262658030319737,0.4986001395876415,0.8596914748771006,0.0514173116210278,0.9492587457553119,47.00077355599631
1.522080871640999,2.542727954821642,0.7257658859909335,0.8841552533945124,0.009483184794248348,0.01153691722637297,1.1908953288386468,0.4984959284064945,0.7840505512456214,0.06341368859264197,0.9554856242635157,42.620832054179495
1.5787500934997376,2.7664761213180356,0.28757730761699923,0.8690447851088137,0.005074720360279614,0.006360421448846601,1.4713654849517723,0.2962920859983984,0.41831853549834785,0.08741357670210213,0.9631330046177631,56.76625687012206
2.1220276060524252,1.7007550388225847,0.48761107196037434,0.9396695512655283,0.014901099140260603,0.019948271250220452,1.2800878308292425,0.6661668837989189,0.7777554364421935,0.06513051897439312,0.9613717006656346,53.200380685351305
0.9371841670726161,2.9143494909471266,0.14333037891151398,0.8468444534738767,0.0062890430387438,0.006856844899750515,1.225758638074844,0.533516840166399,0.7427560641112722,0.041369561698508694,0.9618975306444077,59.67927982044558
2.1472892506921024,2.3063821774867184,0.1295864557831479,0.896628489033135,0.006594301811191314,0.008071827631471884,1.2738309553073928,0.616246426777933,0.7742303404523738,0.07296770474760991,0.9510096765718706,47.1227066726423
3.0559317876807466,1.6614585705731526,0.6133478103043619,0.9427005415377193,0.019490150770925745,0.027407705827284204,2.1599920714402243,0.7532375703123059,0.6777286909747228,0.05035079997527205,0.9803099196462555,56.97760307653978
1.4602879315065138,2.0788936166300154,0.2949607416491284,0.8718879759338316,0.007222931061486417,0.009006738439678027,1.312034884622602,0.5157432684952226,0.5984188528219276,0.06008632182571376,0.9617882592972175,51.936548776559725
1.500637746793333,2.7308489988961986,0.5412744341871296,0.8739444583900736,0.00590536213945988,0.01040565440928966,1.5983704975679358,0.43440920769701435,0.582872326142323,0.07929144851688984,0.9696300342801756,43.744886156401996
