theta,tau_rel,mu,gamma,nu_rel,zeta_rel,betaContam,delta,eta,kappa
1.7449617486880724,0.9027738728697152,0.007621815313587248,0.0101834942465015,1.1683577307682038,0.6143275845137736,0.8525428518253473,0.0657238181349434,0.9620300612368355,47.28494227749763
1.9959282547338604,0.9385644429953974,0.01782554132845456,0.021415387633139646,1.470734126269009,0.8766257772586402,0.6638801202719045,0.05525519175423732,0.983827300822292,58.241496470004115
2.978617717534403,0.9458032675798381,0.014757759465178913,0.020334698538756496,1.4575468213154665,0.7396093814271976,0.6555747679720214,0.06590105389960073,0.9607179844429404,45.40825333969843
2.2165939442843636,0.9042128510679618,0.009861003350964813,0.012896849632866048,1.426776817369953,0.6015436757231039,0.7096933966523911,0.038125183888548644,0.9733724316246257,51.813838000907374
1.3084576102368524,0.8743896644910242,0.01013238780867493,0.010266007197209402,1.572478518251865,0.7752266639732956,0.7204334588927663,0.03141596693302951,0.965595099350126,46.9977475682611
1.598730666941183,0.9286701677385201,0.01602962066541728,0.01931673799930302,1.3556083740038638,0.6983568576109783,0.6883373311865555,0.0315149628451836,0.9834786241047313,56.73535830073392
1.2730980966448555,0.864814705988495,0.006750768579082276,0.0086558261749272,1.4521895785995778,0.40492593201743243,0.9569165019247265,0.03333699853795974,0.9598049495614213,54.58630824125013
6.2790015828948444,0.9644329559955173,0.027036009741168817,0.032684252725629095,1.4020037613867466,0.6009872049794146,0.6026513800509473,0.055846155846086536,0.9754106893884154,38.687038052388864
2.10748758476055,0.9278068668631473,0.014562173800492434,0.018703398487743272,1.6073456804285442,0.6314349589090674,0.5049547576619866,0.05128186988359474,0.9864637461259854,53.884056884136214
1.5250055051219866,0.8878385364369148,0.007036226133947211,0.010116021971195927,1.516190149429177,0.4336362543278525,0.8089011430348177,0.05257858673762917,0.9655059226712339,52.83126800703795
2.386973433383661,0.9441577213509146,0.015221759393429016,0.02080397451065305,1.628152379873731,0.5849683239448905,0.5546045751276423,0.06165655051275644,0.983790324219607,53.423234309123764
1.4350524288831878,0.8922417307803165,0.008723191445155928,0.010024289112661997,1.0271605162787636,0.5586588506476943,0.6339187875903483,0.06363632112395158,0.973234476859492,37.286992665236696
1.770739488114569,0.9142986484134935,0.010142249336400028,0.011343100343024404,1.6714140511435693,0.7455082834677982,0.4320548282288934,0.08558795106591335,0.9694491743064345,43.993176871873295
